[INFO]2018-10-17 01:44:42,391:main:It: 5800, Loss: 9.190e-01, Time: 0.20
[INFO]2018-10-17 01:44:42,986:main:It: 5900, Loss: 8.287e-01, Time: 0.20
[INFO]2018-10-17 01:44:43,573:main:It: 6000, Loss: 7.463e-01, Time: 0.20
[INFO]2018-10-17 01:44:44,171:main:It: 6100, Loss: 6.710e-01, Time: 0.19
[INFO]2018-10-17 01:44:44,760:main:It: 6200, Loss: 6.029e-01, Time: 0.20
[INFO]2018-10-17 01:44:45,355:main:It: 6300, Loss: 5.418e-01, Time: 0.20
[INFO]2018-10-17 01:44:45,933:main:It: 6400, Loss: 4.877e-01, Time: 0.20
[INFO]2018-10-17 01:44:46,534:main:It: 6500, Loss: 4.402e-01, Time: 0.20
[INFO]2018-10-17 01:44:47,120:main:It: 6600, Loss: 3.990e-01, Time: 0.20
[INFO]2018-10-17 01:44:47,740:main:It: 6700, Loss: 3.635e-01, Time: 0.21
[INFO]2018-10-17 01:44:48,402:main:It: 6800, Loss: 3.330e-01, Time: 0.20
[INFO]2018-10-17 01:44:49,004:main:It: 6900, Loss: 3.083e-01, Time: 0.20
[INFO]2018-10-17 01:44:49,587:main:It: 7000, Loss: 2.871e-01, Time: 0.20
[INFO]2018-10-17 01:44:50,159:main:It: 7100, Loss: 2.707e-01, Time: 0.20
[INFO]2018-10-17 01:44:50,732:main:It: 7200, Loss: 2.545e-01, Time: 0.20
[INFO]2018-10-17 01:44:51,281:main:It: 7300, Loss: 2.493e-01, Time: 0.19
[INFO]2018-10-17 01:44:51,877:main:It: 7400, Loss: 2.307e-01, Time: 0.21
[INFO]2018-10-17 01:44:52,453:main:It: 7500, Loss: 2.924e-01, Time: 0.19
[INFO]2018-10-17 01:44:53,022:main:It: 7600, Loss: 2.127e-01, Time: 0.20
[INFO]2018-10-17 01:44:53,602:main:It: 7700, Loss: 2.050e-01, Time: 0.20
[INFO]2018-10-17 01:44:54,200:main:It: 7800, Loss: 1.987e-01, Time: 0.19
[INFO]2018-10-17 01:44:54,796:main:It: 7900, Loss: 1.924e-01, Time: 0.20
[INFO]2018-10-17 01:44:55,378:main:It: 8000, Loss: 1.969e-01, Time: 0.19
[INFO]2018-10-17 01:44:55,986:main:It: 8100, Loss: 1.822e-01, Time: 0.20
[INFO]2018-10-17 01:44:56,569:main:It: 8200, Loss: 1.776e-01, Time: 0.20
[INFO]2018-10-17 01:44:57,232:main:It: 8300, Loss: 1.272e+00, Time: 0.20
[INFO]2018-10-17 01:44:57,822:main:It: 8400, Loss: 1.700e-01, Time: 0.20
[INFO]2018-10-17 01:44:58,424:main:It: 8500, Loss: 1.665e-01, Time: 0.21
[INFO]2018-10-17 01:44:59,004:main:It: 8600, Loss: 1.631e-01, Time: 0.19
[INFO]2018-10-17 01:44:59,605:main:It: 8700, Loss: 1.275e+00, Time: 0.20
[INFO]2018-10-17 01:45:00,215:main:It: 8800, Loss: 1.573e-01, Time: 0.21
[INFO]2018-10-17 01:45:00,800:main:It: 8900, Loss: 1.546e-01, Time: 0.19
[INFO]2018-10-17 01:45:01,387:main:It: 9000, Loss: 1.518e-01, Time: 0.18
[INFO]2018-10-17 01:45:01,970:main:It: 9100, Loss: 1.496e-01, Time: 0.19
[INFO]2018-10-17 01:45:02,586:main:It: 9200, Loss: 1.472e-01, Time: 0.21
[INFO]2018-10-17 01:45:03,141:main:It: 9300, Loss: 1.449e-01, Time: 0.20
[INFO]2018-10-17 01:45:03,703:main:It: 9400, Loss: 1.432e-01, Time: 0.21
